ID,Nombre,HSV_Colores_Dominantes,Tonalidad_Recomendada
1960,woman's_19.png,"(222.36769808205833, 25.81200394183312, 28.797499604519828) | (273.04490101970333, 27.73827270042593, 82.49830102661106) | (255.97912100159755, 19.880056426656402, 52.54513878782586) | (250.8245323229936, 23.458938987130978, 39.27750625472744) | (260.9206700249825, 18.18319473749526, 67.0544958220979)",claro
1961,woman's_2.png,"(0.0, 0.0, 1.6987874836540282) | (0.0, 0.0, 48.91469029145803) | (0.0, 0.0, 69.44257244632715) | (0.0, 0.0, 30.00191041872905) | (0.0, 0.0, 13.105021085757256)",mestizo
1962,woman's_20.png,"(104.7045663377331, 1.6953583714373173, 26.351595435188496) | (107.59878419451712, 0.3786211400639776, 71.2890721142013) | (106.51553316540469, 0.7667464243179052, 42.0679413570216) | (106.3496407800203, 0.543345917841912, 56.09302907549619) | (106.93197412271654, 1.0641848898680828, 30.453482000333583)",mestizo
1963,woman's_21.png,"(0.0, 0.0, 75.07888736890101) | (0.0, 0.0, 9.422582826233977) | (0.0, 0.0, 41.52242340235063) | (0.0, 0.0, 58.890437691664346) | (0.0, 0.0, 25.131929314935853)",mestizo
1964,woman's_22.png,"(11.033637067836635, 98.9307578659146, 21.751194199518036) | (16.33485694938212, 74.61770409583526, 69.18712016378987) | (57.09415728344731, 29.88005854679448, 51.713445785883415) | (28.29858990859285, 33.1284467626885, 81.29437065148647) | (22.430273541229695, 72.2757075115059, 40.489018665913115)",mestizo
1965,woman's_23.png,"(178.39863810222505, 64.03028119245784, 80.13012325408658) | (202.64202419010576, 46.67086739624452, 21.33500504997753) | (184.25588138794538, 80.35499248259596, 39.36744368705991) | (178.86694457310472, 82.21778283774844, 83.91315372668632) | (180.3221269010083, 69.68589715594506, 61.270124425812774)",mestizo
1966,woman's_24.png,"(178.99228401000298, 31.890429956263084, 76.0940037144822) | (19.32629352314677, 15.920863424726509, 19.797036169839416) | (171.80288238028814, 14.72742958083994, 46.66709269259034) | (171.3840358511398, 17.407082897600482, 31.221651576922426) | (173.01629342351083, 13.709604212055238, 61.09090909090911)",mestizo
1967,woman's_25.png,"(0.0, 0.0, 72.03948864928805) | (0.0, 0.0, 12.576678026374283) | (0.0, 0.0, 45.170048168150636) | (0.0, 0.0, 29.200856813313557) | (0.0, 0.0, 2.342937174869969)",mestizo
1968,woman's_26.png,"(35.16279069767443, 9.237776059121778, 57.76619508562919) | (36.01054481546584, 12.48765499835398, 43.582018173122904) | (32.941176470588196, 8.13515081206498, 75.119825708061) | (35.33333333333334, 11.183829011680881, 50.90027408812987) | (34.34167573449398, 8.458352508053366, 65.55052790346907)",mestizo
1969,woman's_27.png,"(0.0, 0.0, 72.46549528902469) | (0.0, 0.0, 22.31153330897577) | (0.0, 0.0, 57.128953771289545) | (0.0, 0.0, 41.812942429367915) | (0.0, 0.0, 7.950872656754976)",mestizo
1970,woman's_28.png,"(249.98335554437526, 17.073083230348416, 71.10222795040626) | (252.44436124331244, 39.29739082211082, 41.77162004042122) | (251.10363530259826, 36.951236527996684, 31.28115596997655) | (250.53777988229726, 19.109194164131633, 53.068541702395244) | (250.5236164122137, 9.841299652549527, 79.73419439374796)",claro
1971,woman's_29.png,"(179.02018955907963, 31.83269261343904, 76.06441992245767) | (19.315521243331727, 15.96260517964701, 19.79293458693865) | (171.36128244879097, 17.251641685729503, 30.931460555496866) | (173.01838889547983, 13.77373104865989, 60.66357382184419) | (171.6920164089618, 14.707383858541744, 46.27493932951055)",mestizo
1972,woman's_3.png,"(0.0, 0.0, 34.10309236083352) | (0.0, 0.0, 3.9348555528275373) | (0.0, 0.0, 70.39114945370962) | (0.0, 0.0, 52.66445569325654) | (0.0, 0.0, 17.64407380459323)",mestizo
1973,woman's_30.png,"(35.61766349916144, 16.430933137398977, 41.860822760476744) | (36.22443015780238, 10.806543295648343, 64.67728758169935) | (34.440789473684276, 9.643905147117136, 74.91978609625669) | (36.34366418203218, 14.039435999118716, 48.1081081081081) | (34.66598674145847, 11.636600996914321, 56.00531738118977)",mestizo
1974,woman's_31.png,"(35.745164960181896, 15.645209136754676, 43.201332820709986) | (35.10594668489402, 10.491215489422707, 67.51391914790607) | (36.031957390146424, 13.153132115126395, 50.50567595459236) | (35.38060479666314, 11.255208027697915, 58.62057103543172) | (37.162921348314576, 9.127034995513398, 76.48039215686275)",mestizo
1975,woman's_32.png,"(10.213448488586815, 22.347832081064347, 33.957538447133814) | (9.953943954332376, 8.14349368345708, 76.29707998307238) | (10.219328932558577, 13.381829727991382, 52.24235464250776) | (10.302267002519246, 10.326888060348505, 63.80432585405291) | (10.034984029030568, 17.514661835840695, 41.93811997733563)",mestizo
1976,woman's_33.png,"(42.89937759336099, 33.45770065075922, 79.99305917057087) | (42.83125943666373, 40.24937133277452, 70.61783203847577) | (40.201486374896774, 28.149697814969777, 83.51776354105999) | (46.38684945747516, 51.40271190969209, 70.31114242104027) | (42.526215443279334, 39.26192080245527, 75.92497868712702)",moreno
1977,woman's_34.png,"(12.117909781152866, 21.90116597542863, 34.11030662974207) | (9.938045264888675, 10.143948559873186, 62.95584534431481) | (13.063598675964897, 13.850029598835636, 51.58446985351518) | (12.96087047499451, 8.224104996873766, 75.45729991775964) | (11.645868817129397, 16.31654170305924, 41.65320103945193)",mestizo
1978,woman's_35.png,"(43.81360133399436, 54.59243435444493, 66.04222521290991) | (41.19334806233954, 31.08138517894721, 75.36282814507884) | (41.6124865446717, 38.577095567041546, 68.20064304396355) | (41.31549139952055, 25.596542447391695, 80.72444244873523) | (42.183904028798366, 46.86096703895119, 66.11115058620518)",mestizo
1979,woman's_36.png,"(39.70716761263762, 22.646638949397943, 54.809376850899326) | (40.23670862295686, 15.62081209832826, 70.70512155479477) | (39.8342175066313, 18.233296724334235, 62.97798083634748) | (39.11675488474332, 35.375665789084884, 53.761692884419965) | (39.01840490797565, 12.88326837644104, 78.19906223358906)",mestizo
1980,woman's_37.png,"(41.61520190023755, 14.68024269474858, 64.63376155059724) | (42.38203524729969, 23.6631465662205, 51.142070863433084) | (40.55503292568205, 12.034416393071456, 71.4210632706691) | (40.64766839378234, 16.50630746204834, 57.316176470588246) | (40.30622009569383, 10.089794341990917, 78.10708898944193)",mestizo
1981,woman's_38.png,"(38.79543516224669, 17.708528112998582, 62.89255263812561) | (39.08873234549042, 31.3324755812478, 52.678656662275415) | (38.04421326397908, 12.313377868584771, 78.29647460007023) | (38.43695322524213, 15.197390579851458, 70.90372046254399) | (38.52804198097734, 21.374291963434462, 55.386526887982924)",mestizo
1982,woman's_39.png,"(10.213448488588362, 22.34772938246197, 33.95769449841216) | (9.953943954332662, 8.143472174533189, 76.29728150252913) | (10.218867005570544, 13.379627744063837, 52.24431606609002) | (10.30226700251848, 10.327129140806585, 63.80283638143266) | (10.035401689724356, 17.51490229345055, 41.94052234400678)",mestizo
1983,woman's_4.png,"(0.0, 0.0, 70.49630343940865) | (0.0, 0.0, 16.956424762252414) | (0.0, 0.0, 52.487086577750354) | (0.0, 0.0, 3.3421807747489707) | (0.0, 0.0, 34.52500786410822)",mestizo
1984,woman's_40.png,"(330.64968152866095, 0.8490433390657199, 42.83242416872242) | (333.19024390245295, 2.6409017713366163, 14.028191921930095) | (330.3281249999954, 0.4492536422888077, 71.85347708215116) | (330.77559462253646, 1.3442317583441004, 28.154279675942185) | (330.5603448275953, 0.585634289897388, 57.290815527194304)",claro
1985,woman's_41.png,"(42.6962025316456, 24.27159608786932, 67.17922256621947) | (44.23048327137545, 34.42979649302445, 58.921568627450974) | (42.354073123797356, 18.98672512483254, 79.50617283950616) | (43.073313782991214, 22.075483912733862, 72.98369950389795) | (42.677532013969724, 27.6981896909116, 62.14111922141119)",mestizo
1986,woman's_42.png,"(247.3364928909951, 0.27272962283179253, 70.34455794838226) | (246.42636457262876, 0.9994613270567754, 19.471356515348877) | (246.69852302345242, 0.5745147072771071, 34.771357536154554) | (246.26553953255785, 0.35594873347040096, 52.21693862555635) | (246.83454091937384, 3.2328670335128282, 8.124510583867576)",claro
1987,woman's_43.png,"(60.0, 1.7802400738687527, 12.96416002298357) | (60.0, 0.030567018187366898, 70.56176470588235) | (60.0, 0.5171299289005267, 1.5778066753359603) | (60.0, 0.07165985455702034, 33.58110516934047) | (60.0, 0.04000208706539336, 52.805253248840515)",mestizo
1988,woman's_44.png,"(247.4196567862816, 3.9922770303940895, 8.17652660579437) | (247.6275510204182, 0.4769156212171482, 53.425306034015804) | (247.42701440247492, 0.7086857451818331, 36.18163580015865) | (247.24474696656824, 1.2311582506550944, 20.345972793654333) | (247.70176787087408, 0.3801048282954932, 70.7006047085676)",claro
1989,woman's_45.png,"(0.0, 0.0, 73.56453692588146) | (0.0, 0.0, 13.768330861756455) | (0.0, 0.0, 39.74093879976233) | (0.0, 0.0, 56.52448657187994) | (0.0, 0.0, 2.4394463667819997)",mestizo
1990,woman's_5.png,"(38.895223662016946, 58.964519125947255, 58.78659304649248) | (38.635570257825314, 36.509901741225576, 72.73766692418053) | (38.99917767135876, 46.43183349554535, 64.68711597019173) | (37.65837937985606, 28.37991205739423, 81.40419888170491) | (40.38460594257109, 71.60181695403851, 57.604742165828085)",mestizo
1991,woman's_6.png,"(224.10975972288688, 26.080182513073552, 29.116165036441956) | (273.28812381240584, 28.160083173295096, 82.5429347769065) | (243.25727324586447, 21.093373977218047, 39.1873943966364) | (247.3527527602968, 17.619095043654315, 50.78650548783572) | (253.80722114764674, 16.89997608893707, 62.652368490916686)",claro
1992,woman's_7.png,"(178.8504435779452, 82.2473788187475, 83.92803003257379) | (195.73999635849248, 69.20877302952559, 24.764373817268247) | (180.21621237806986, 69.25597177315255, 61.52060052564904) | (184.10669055947065, 78.35778577857788, 42.34074582213838) | (178.03785193606635, 66.52033645864293, 79.81919026212442)",mestizo
